situation,dialogue,context
Ordering Coffee,"""A: Hi, can I get a large latte please?\nB: Sure! Would you like any flavor syrup?\nA: Vanilla, please.\nB: Got it. Anything else?\nA: No, thanks.""",At a coffee shop placing an order.
Asking for Directions,"""A: Excuse me, can you tell me how to get to the library?\nB: Sure, go straight, then turn left at the second light.\nA: Thanks a lot!\nB: You're welcome!""",Asking a stranger for directions on the street.
Booking a Hotel Room,"""A: I'd like to book a double room for two nights.\nB: May I have your name please?\nA: John Smith.\nB: Thank you, Mr. Smith. Your room is confirmed.""",Calling a hotel to make a reservation.
Job Interview Introduction,"""A: Hello, I'm here for the software engineer position.\nB: Welcome! Can you tell me a little about yourself?\nA: Sure, I have five years of experience in web development.""",During the initial phase of a job interview.
Buying Groceries,"""A: How much are these apples?\nB: They are $2 per pound.\nA: I'll take three pounds, please.\nB: Great, anything else?\nA: No, that's all.""",At the supermarket buying fruit.
Making a Doctor's Appointment,"""A: I need to see a doctor this week.\nB: When are you available?\nA: Wednesday afternoon would be good.\nB: You're booked for 3 PM Wednesday.""",Scheduling a doctor's visit.
At the Airport Check-in,"""A: I’d like to check in for my flight to Paris.\nB: May I see your passport, please?\nA: Here you go.\nB: Thank you, here's your boarding pass.""",Checking in for a flight at the airport.
Restaurant Reservation,"""A: I'd like to reserve a table for four at 7 PM.\nB: Sure, is it for today or another day?\nA: For tonight, please.\nB: Your reservation is confirmed.""",Making a dinner reservation.
Asking for Help with Luggage,"""A: Could you help me lift this suitcase?\nB: Of course! Where do you want me to put it?\nA: Just over there by the door.\nB: Done.""",Requesting assistance with heavy luggage.
Talking About the Weather,"""A: It's really cold today, isn’t it?\nB: Yes, I wasn’t expecting this much chill.\nA: I hope it warms up soon.\nB: Me too.""",Casual conversation about weather.
At the Pharmacy,"""A: Do you have something for a headache?\nB: Yes, we have ibuprofen or acetaminophen.\nA: I'll take ibuprofen.\nB: That will be $5.""",Buying medicine at a pharmacy.
Making Small Talk at a Party,"""A: So how do you know the host?\nB: We work together. How about you?\nA: We went to college together.\nB: Nice!""",Engaging in small talk at a social event.
Complaining About a Meal,"""A: Excuse me, my steak is overcooked.\nB: I apologize. Would you like a new one?\nA: Yes, please.\nB: It will be out shortly.""",Addressing a problem with food in a restaurant.
Asking for a Price Discount,"""A: Is this item on sale?\nB: No, but I can give you a 10% discount.\nA: Great, I’ll take it.\nB: Perfect. Let me ring it up.""",Negotiating price in a store.
Returning a Purchased Item,"""A: I’d like to return this shirt, please.\nB: Do you have the receipt?\nA: Yes, here it is.\nB: Refund processed. Anything else?\nA: No, thanks.""",Returning an item to a retail store.
Asking About Public Transport,"""A: Which bus goes to downtown?\nB: The number 7 bus will take you there.\nA: How often does it run?\nB: Every 15 minutes.""",Inquiring about buses in a city.
Meeting Someone New,"""A: Hi, I’m Anna.\nB: Nice to meet you, Anna. I’m James.\nA: Great to meet you too.\nB: Would you like to grab coffee sometime?\nA: Sure!""",Introducing yourself to a new acquaintance.
Asking for a Recommendation,"""A: Could you recommend a good movie?\nB: I just saw 'The Lighthouse'. It’s excellent.\nA: Sounds good, I’ll watch it.\nB: Enjoy!""",Asking for a movie suggestion.
Discussing Weekend Plans,"""A: What are you doing this weekend?\nB: Going hiking. How about you?\nA: Probably just relaxing at home.\nB: Sounds nice.""",Talking about plans for the weekend.
Applying for a Library Card,"""A: I’d like to apply for a library card.\nB: Please fill out this form.\nA: Sure, will do.\nB: Thank you. Your card will be ready in 10 minutes.""",Registering at a library.
Meeting at the Airport,"""A: Welcome back! How was your flight?\nB: It was good, thanks! A bit long.\nA: Let’s get your luggage.\nB: Sounds good.""",Greeting someone arriving from a trip.
Ordering Food Delivery,"""A: I’d like to order a pepperoni pizza.\nB: What size would you like?\nA: Medium, please.\nB: Your order will be delivered in 30 minutes.""",Ordering food for delivery over the phone.
Checking Bank Account Balance,"""A: Can you check my account balance?\nB: Sure, your balance is $1,250.\nA: Thank you.\nB: You’re welcome.""",Asking a bank teller for account information.
Asking About Working Hours,"""A: What time do you open?\nB: We open at 9 AM and close at 6 PM.\nA: Thanks.\nB: Have a great day.""",Inquiring about business hours.
Buying Tickets for a Concert,"""A: Two tickets for tonight’s concert, please.\nB: Is aisle or balcony okay?\nA: Aisle seats, please.\nB: Done, enjoy the show.""",Purchasing concert tickets.
Lost at a Museum,"""A: Excuse me, where is the dinosaur exhibit?\nB: It’s on the second floor, to the right.\nA: Thanks so much!\nB: You’re welcome!""",Asking for directions inside a museum.
Returning Library Books,"""A: I’m here to return these books.\nB: Did you also renew any?\nA: No, just returns today.\nB: Thank you, have a good day.""",Returning borrowed books at a library.
Getting a Taxi,"""A: Can you take me to the airport, please?\nB: Sure, hop in.\nA: How long will it take?\nB: About 30 minutes with traffic.""",Taking a taxi ride to a destination.
At the Clothing Store,"""A: Do you have this in a size medium?\nB: Let me check.\nA: Thank you.\nB: Here you go, medium size.""",Shopping for clothes and asking about sizes.
Asking About Wi-Fi Password,"""A: Excuse me, can I have the Wi-Fi password?\nB: Sure, it’s 'Coffee123'.\nA: Thanks a lot!\nB: Enjoy your stay.""",Requesting Wi-Fi access in a café or hotel.
Introducing a Friend,"""A: This is my friend, Sarah.\nB: Hi Sarah, nice to meet you.\nSarah: Nice to meet you too!\nA: We work together.""",Introducing someone to others in a casual setting.
Scheduling a Meeting,"""A: Can we meet tomorrow at 10 AM?\nB: That works for me.\nA: Great, see you then.\nB: See you!""",Arranging a professional meeting time.
Asking for a Raise,"""A: I’d like to discuss a salary increase.\nB: Let’s set a time to talk.\nA: How about Friday?\nB: Friday works.""",Requesting a salary discussion with a manager.
Asking for a Recipe,"""A: How do you make this cake?\nB: It’s simple, I’ll give you the recipe.\nA: Thanks!\nB: You’re welcome!""",Asking a friend for cooking instructions.
At the Post Office,"""A: I’d like to send this package to London.\nB: How soon do you want it delivered?\nA: Standard delivery, please.\nB: That will be $30.""",Sending a parcel via postal service.
Asking about Allergies,"""A: Does this dish have nuts?\nB: No, it doesn’t.\nA: That’s great, I’m allergic.\nB: I’ll make sure it’s safe.""",Checking food safety due to allergies.
At the Bank ATM,"""A: How do I withdraw cash?\nB: Insert your card and follow the instructions.\nA: Thanks!\nB: You’re welcome.""",Using an ATM machine with assistance.
Complimenting Someone’s Outfit,"""A: I love your jacket!\nB: Thank you! I got it last week.\nA: It suits you very well.\nB: Thanks again!""",Giving a compliment on clothing.
Asking About a Package,"""A: Has my package arrived yet?\nB: Let me check.\nA: Thank you.\nB: Yes, it’s here and ready for pickup.""",Inquiring about delivery status in a store or post office.
Giving Directions in a Building,"""A: Where is the conference room?\nB: Go straight down this hall and turn left.\nA: Thanks.\nB: No problem!""",Helping someone navigate indoors.
Scheduling a Haircut,"""A: I’d like to make a haircut appointment.\nB: When are you available?\nA: Tomorrow afternoon.\nB: All set for tomorrow at 2 PM.""",Booking a salon appointment.
At the Gym,"""A: Is there a personal trainer available?\nB: Yes, I can book a session for you.\nA: Great, please do.\nB: Done!""",Asking for training help at a gym.
Asking About a Movie Time,"""A: What time is the next showing of the new action movie?\nB: At 7:30 PM.\nA: I’ll take two tickets.\nB: Here you go.""",Buying cinema tickets.
Asking How to Use a Machine,"""A: How do I use this coffee machine?\nB: Press this button first, then add coffee here.\nA: Got it, thanks!\nB: No problem.""",Learning to operate equipment.
Asking for a Room Upgrade,"""A: Is it possible to upgrade to a suite?\nB: Let me check availability.\nA: Thanks!\nB: Yes, the suite is available for $50 more.""",Requesting a hotel room upgrade.
Returning a Faulty Electronic Item,"""A: This phone keeps shutting down. Can I exchange it?\nB: Yes, please bring the receipt and the item.\nA: Will do, thanks.\nB: You're welcome!""",Returning a defective product.
Asking for Extra Towels,"""A: Could I get some extra towels, please?\nB: Certainly, I’ll send them up.\nA: Thanks.\nB: My pleasure.""",Requesting extra amenities at a hotel.
Asking About a Course Schedule,"""A: When is the next art class?\nB: It’s on Wednesday at 3 PM.\nA: Perfect, I’ll sign up.\nB: Great!""",Inquiring about educational courses.
Discussing a Project Deadline,"""A: When is the project due?\nB: It’s due next Friday.\nA: We need to finalize the presentation by then.\nB: Agreed.""",Talking about work deadlines.
Asking for Coffee Suggestions,"""A: What coffee do you recommend?\nB: The espresso is very popular.\nA: I’ll try that.\nB: Excellent choice!""",Asking for advice on drink selection.
