mistake,correction,example
Their going to the store,They're going to the store,❌ Their going to the store. / ✅ They're going to the store.
Your welcome,You're welcome,❌ Your welcome! / ✅ You're welcome!
I could care less,I couldn't care less,❌ I could care less about that. / ✅ I couldn't care less about that.
Irregardless,Regardless,"❌ Irregardless of the weather, we will go. / ✅ Regardless of the weather, we will go."
To vs Too,To / Too,❌ I want too go. / ✅ I want to go.
Then vs Than,Then / Than,❌ She is taller then me. / ✅ She is taller than me.
Less vs Fewer,Less / Fewer,❌ There are less apples here. / ✅ There are fewer apples here.
Could of,Could have,❌ I could of done better. / ✅ I could have done better.
Who vs Whom,Who / Whom,❌ Whom is coming to dinner? / ✅ Who is coming to dinner?
Me vs I,Me / I,❌ Me and him went to the park. / ✅ He and I went to the park.
Affect vs Effect,Affect / Effect,❌ The effect of the weather will affect us. / ✅ The effect of the weather will affect us.
Lie vs Lay,Lie / Lay,❌ I am going to lay down. / ✅ I am going to lie down.
Between you and I,Between you and me,"❌ Between you and I, this is a secret. / ✅ Between you and me, this is a secret."
Okay vs OK,Okay / OK,❌ It's ok to be late. / ✅ It's OK to be late.
Everybody vs Every body,Everybody,❌ Every body enjoyed the party. / ✅ Everybody enjoyed the party.
Good vs Well,Good / Well,❌ She sings good. / ✅ She sings well.
Should of,Should have,❌ You should of called me. / ✅ You should have called me.
Bring vs Take,Bring / Take,❌ Please bring this to your house. / ✅ Please take this to your house.
Farther vs Further,Farther / Further,❌ We cannot discuss this any farther. / ✅ We cannot discuss this any further.
Could care less,Couldn't care less,❌ I could care less about the game. / ✅ I couldn't care less about the game.
Less vs Least,Less / Least,❌ This is less of a problem than before. / ✅ This is the least of our problems.
Accept vs Except,Accept / Except,❌ Everyone accept John was there. / ✅ Everyone except John was there.
Then vs Than,Then / Than,❌ She is better then me. / ✅ She is better than me.
Alot vs A lot,A lot,❌ I have alot of homework. / ✅ I have a lot of homework.
He don’t vs He doesn’t,He doesn’t,❌ He don’t like pizza. / ✅ He doesn’t like pizza.
Could care less,Couldn't care less,❌ I could care less about your opinion. / ✅ I couldn't care less about your opinion.
I seen vs I saw,I saw,❌ I seen the movie last night. / ✅ I saw the movie last night.
Less vs Fewer,Less / Fewer,❌ There’s less people here today. / ✅ There’s fewer people here today.
Then vs Than,Then / Than,❌ You’re taller then I am. / ✅ You’re taller than I am.
Their vs There,Their / There,❌ Their going over there later. / ✅ They're going over there later.
Your vs You're,Your / You're,❌ Your going to love this. / ✅ You're going to love this.
Its vs It's,Its / It's,❌ Its raining outside. / ✅ It's raining outside.
Who vs Whom,Who / Whom,❌ Whom is calling? / ✅ Who is calling?
Less vs Fewer,Less / Fewer,❌ There are less cars in the parking lot. / ✅ There are fewer cars in the parking lot.
Bring vs Take,Bring / Take,❌ Bring that book to your house. / ✅ Take that book to your house.
I did good vs I did well,I did well,❌ I did good on the test. / ✅ I did well on the test.
Less vs Fewer,Less / Fewer,❌ I have less books than you. / ✅ I have fewer books than you.
Could of vs Could have,Could have,❌ I could of helped you. / ✅ I could have helped you.
Lie vs Lay,Lie / Lay,❌ I will lay down now. / ✅ I will lie down now.
Alot vs A lot,A lot,❌ She has alot of friends. / ✅ She has a lot of friends.
Irregardless vs Regardless,Regardless,"❌ Irregardless of the weather, we will go. / ✅ Regardless of the weather, we will go."
Me vs I,Me / I,❌ Me and him went to the store. / ✅ He and I went to the store.
He don’t vs He doesn’t,He doesn’t,❌ He don’t want to go. / ✅ He doesn’t want to go.
Should of vs Should have,Should have,❌ You should of asked. / ✅ You should have asked.
Effect vs Affect,Effect / Affect,❌ How will this affect the effect? / ✅ How will this affect the outcome?
Less vs Fewer,Less / Fewer,❌ I have less friends than him. / ✅ I have fewer friends than him.
There vs Their,There / Their,❌ Their going to the meeting. / ✅ They're going to the meeting.
Farther vs Further,Farther / Further,❌ We need to discuss this matter further. / ✅ We need to discuss this matter further.
All together vs altogether,All together / Altogether,❌ We were all together at the event. / ✅ We were altogether at the event.
Complement vs Compliment,Complement / Compliment,❌ Your skills complement the team. / ✅ Your skills are a compliment to the team.
